index,row,col,radius_px,diameter_px,stenosis
0,224,194,4.0,8.0,0.0
1,224,195,5.0,10.0,0.0
2,224,196,6.0,12.0,0.0
3,224,197,7.0,14.0,0.0
4,224,198,8.0,16.0,0.0
5,224,199,9.0,18.0,0.0
6,224,200,10.0,20.0,0.0
7,224,201,11.0,22.0,0.0
8,224,202,12.0,24.0,0.0
9,224,203,13.0,26.0,0.0
10,223,204,14.035668847618199,28.071337695236398,0.0
11,222,205,14.035668847618199,28.071337695236398,0.0
12,222,206,14.142135623730951,28.284271247461902,0.0
13,222,207,14.317821063276353,28.635642126552707,0.0
14,222,208,13.92838827718412,27.85677655436824,0.027199165597276975
15,221,209,13.92838827718412,27.85677655436824,0.027199165597276975
16,221,210,14.317821063276353,28.635642126552707,0.0
17,221,211,13.92838827718412,27.85677655436824,0.027199165597276975
18,220,212,13.92838827718412,27.85677655436824,0.027199165597276975
19,220,213,14.317821063276353,28.635642126552707,0.0
20,220,214,13.892443989449804,27.784887978899608,0.029709623548627495
21,219,215,13.92838827718412,27.85677655436824,0.027199165597276975
22,219,216,13.92838827718412,27.85677655436824,0.027199165597276975
23,219,217,13.601470508735444,27.202941017470888,0.050032092968270825
24,218,218,13.92838827718412,27.85677655436824,0.027199165597276975
25,218,219,14.142135623730951,28.284271247461902,0.012270403350410408
26,218,220,13.92838827718412,27.85677655436824,0.027199165597276975
27,217,221,13.92838827718412,27.85677655436824,0.027199165597276975
28,217,222,14.317821063276353,28.635642126552707,0.0
29,217,223,13.92838827718412,27.85677655436824,0.027199165597276975
30,216,224,13.92838827718412,27.85677655436824,0.027199165597276975
31,216,225,14.317821063276353,28.635642126552707,0.0
32,216,226,14.142135623730951,28.284271247461902,0.012270403350410408
33,215,227,14.422205101855956,28.844410203711913,0.0
34,215,228,14.560219778561036,29.120439557122072,0.0
35,214,229,14.7648230602334,29.5296461204668,0.0
36,214,230,15.132745950421556,30.265491900843113,0.0
37,214,231,14.866068747318506,29.732137494637012,0.017622525612783546
